tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570289584061480000.00 ,positive,1,null,null,Virgin America,null,HyperCamiLax,null,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,null,2015/2/24 10:30,NYC,America/New_York
570287408438120000.00 ,positive,0.6451,null,null,Virgin America,null,mollanderson,null,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,null,2015/2/24 10:21,null,Eastern Time (US & Canada)
570285904809598000.00 ,positive,1,null,null,Virgin America,null,sjespers,null,0,@VirginAmerica Thanks!,null,2015/2/24 10:15,San Francisco. CA,Pacific Time (US & Canada)
570282469121007000.00 ,negative,0.6842,Late Flight,0.3684,Virgin America,null,smartwatermelon,null,0,@VirginAmerica SFO-PDX schedule is still MIA.,null,2015/2/24 10:01,palo alto. ca,Pacific Time (US & Canada)
570277724385734000.00 ,positive,1,null,null,Virgin America,null,ItzBrianHunty,null,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,null,2015/2/24 9:42,west covina,Pacific Time (US & Canada)
570276917301137000.00 ,negative,1,Bad Flight,1,Virgin America,null,heatherovieda,null,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,null,2015/2/24 9:39,this place called NYC,Eastern Time (US & Canada)
570270684619923000.00 ,positive,1,null,null,Virgin America,null,thebrandiray,null,0,I 鉂わ笍 flying @VirginAmerica. 鈽猴笍馃憤,null,2015/2/24 9:15,Somewhere celebrating life. ,Atlantic Time (Canada)
570267956648792000.00 ,positive,1,null,null,Virgin America,null,JNLpierce,null,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,null,2015/2/24 9:04,Boston | Waltham,Quito
570265883513384000.00 ,negative,0.6705,Can't Tell,0.3614,Virgin America,null,MISSGJ,null,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,null,2015/2/24 8:55,null,null
570264145116819000.00 ,positive,1,null,null,Virgin America,null,DT_Les,null,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,[40.74804263. -73.99295302],2015/2/24 8:49,null,null
570259420287868000.00 ,positive,1,null,null,Virgin America,null,ElvinaBeck,null,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,null,2015/2/24 8:30,Los Angeles,Pacific Time (US & Canada)
570258822297579000.00 ,neutral,1,null,null,Virgin America,null,rjlynch21086,null,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,null,2015/2/24 8:27,Boston. MA ,Eastern Time (US & Canada)
570256553502068000.00 ,negative,1,Customer Service Issue,0.3557,Virgin America,null,ayeevickiee,null,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 馃槨 I want free internet,null,2015/2/24 8:18,714,Mountain Time (US & Canada)
570249102404923000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,Leora13,null,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,null,2015/2/24 7:49,null,null
570239632807370000.00 ,negative,1,Can't Tell,0.6614,Virgin America,null,meredithjlynn,null,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,null,2015/2/24 7:11,null,null
570217831557677000.00 ,neutral,0.6854,null,null,Virgin America,null,AdamSinger,null,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,null,2015/2/24 5:44,San Francisco. CA,Central Time (US & Canada)
570207886493782000.00 ,negative,1,Bad Flight,1,Virgin America,null,blackjackpro911,null,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,[42.361016. -71.02000488],2015/2/24 5:05,San Mateo. CA & Las Vegas. NV,null
570124596180955000.00 ,neutral,0.615,null,0,Virgin America,null,TenantsUpstairs,null,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,[33.94540417. -118.4062472],2015/2/23 23:34,Brooklyn,Atlantic Time (Canada)
570114021854212000.00 ,negative,1,Flight Booking Problems,1,Virgin America,null,jordanpichler,null,0,@VirginAmerica hi! I just bked a cool birthday trip with you . but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 馃槩,null,2015/2/23 22:52,null,Vienna
570094701371469000.00 ,neutral,1,null,null,Virgin America,null,JCervantezzz,null,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,null,2015/2/23 21:35,California. San Francisco,Pacific Time (US & Canada)
570088404156698000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,Cuschoolie1,null,0,@VirginAmerica help . left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!,[33.94209449. -118.40410103],2015/2/23 21:10,Washington DC,Quito
570084582780899000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,amanduhmccarty,null,0,@VirginAmerica awaiting my return phone call . just would prefer to use your online self-service option :(,null,2015/2/23 20:55,null,Pacific Time (US & Canada)
570076792993611000.00 ,positive,1,null,null,Virgin America,null,NorthTxHomeTeam,null,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,[33.2145038. -96.9321504],2015/2/23 20:24,Texas,Central Time (US & Canada)
570051991277342000.00 ,neutral,0.6207,null,null,Virgin America,null,miaerolinea,null,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,null,2015/2/23 18:46,Worldwide,Caracas
570051381534396000.00 ,positive,1,null,null,Virgin America,null,Nicsplace,null,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 馃挏鉁?#MoodlitMonday,null,2015/2/23 18:43,Central Texas,null
570045393565691000.00 ,positive,1,null,null,Virgin America,null,Nicsplace,null,0,@VirginAmerica @freddieawards Done and done! Best airline around . hands down!,null,2015/2/23 18:19,Central Texas,null
570038941497192000.00 ,neutral,0.6791,null,0,Virgin America,null,elisha_malulani,null,0,@VirginAmerica when can I book my flight to Hawaii??,null,2015/2/23 17:54,i'm creating a monster ,Pacific Time (US & Canada)
570035876845084000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,DannyDouglass,null,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,null,2015/2/23 17:41,San Francisco. CA,Pacific Time (US & Canada)
570033593394667000.00 ,positive,0.6639,null,null,Virgin America,null,jamesferrandini,null,0,@VirginAmerica View of downtown Los Angeles . the Hollywood Sign . and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr,null,2015/2/23 17:32,null,null
570025482344898000.00 ,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,null,will_lenzenjr,null,0,@VirginAmerica Hey . first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?,null,2015/2/23 17:00,Iowa City,Central Time (US & Canada)
570016304284901000.00 ,neutral,1,null,null,Virgin America,null,GottAmanda,null,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  馃嵎馃憤馃捄鉁堬笍,[34.0219817. -118.38591198],2015/2/23 16:24,Los Angeles,null
570015408788414000.00 ,neutral,0.6578,null,0,Virgin America,null,KGervaise,null,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,null,2015/2/23 16:20,Georgia,Pacific Time (US & Canada)
570013523650048000.00 ,neutral,1,null,null,Virgin America,null,papamurat,null,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,null,2015/2/23 16:13,null,null
570012257549070000.00 ,positive,1,null,null,Virgin America,null,arieldaie,null,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,null,2015/2/23 16:08,Los Angeles,null
570011341483843000.00 ,neutral,0.6799,null,null,Virgin America,null,vacations7,null,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,null,2015/2/23 16:04,Turks and caicos,null
570010571707256000.00 ,positive,1,null,null,Virgin America,null,ChelseaPoe666,null,0,@VirginAmerica wow this just blew my mind,null,2015/2/23 16:01,Oakland via Midwest ,Atlantic Time (Canada)
570010539499393000.00 ,neutral,1,null,null,Virgin America,null,BobGlavinVO,null,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,null,2015/2/23 16:01,New York. NY,Eastern Time (US & Canada)
570009713447825000.00 ,neutral,0.6436,null,null,Virgin America,null,lisaaiko,null,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,null,2015/2/23 15:58,null,null
570009035455344000.00 ,neutral,0.6764,null,0,Virgin America,null,grantbrowne,null,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",null,2015/2/23 15:55,Worldwide,Central Time (US & Canada)
570006886012973000.00 ,positive,0.657,null,null,Virgin America,null,joyabsalon,null,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,null,2015/2/23 15:46,Northern Virginia,Eastern Time (US & Canada)
570004391731847000.00 ,neutral,1,null,null,Virgin America,null,2v,null,0,@VirginAmerica wish you flew out of Atlanta... Soon?,null,2015/2/23 15:36,Los Angeles / Atlanta,Eastern Time (US & Canada)
570001194900426000.00 ,neutral,0.7118,null,0,Virgin America,null,KSmithFoundHere,null,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,null,2015/2/23 15:24,null,Atlantic Time (Canada)
570000071644872000.00 ,neutral,1,null,null,Virgin America,null,papamurat,null,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,null,2015/2/23 15:19,null,null
569996412286582000.00 ,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,null,murphicus,null,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,null,2015/2/23 15:05,new york. new york,Eastern Time (US & Canada)
569996245462159000.00 ,positive,1,null,null,Virgin America,null,VinnieFerra,null,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,null,2015/2/23 15:04,brooklyn. Ny,Pacific Time (US & Canada)
569990222609412000.00 ,positive,0.635,null,null,Virgin America,null,KevinDemsi,null,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 馃槉,null,2015/2/23 14:40,Bali. Republic of Indonesia,Kuala Lumpur
569990163209850000.00 ,neutral,0.7007,null,null,Virgin America,null,giffgaffman,null,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,null,2015/2/23 14:40,UK. USA. ,null
569989504431316000.00 ,neutral,1,null,null,Virgin America,null,HanlonBrothers,null,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,null,2015/2/23 14:37,Gold Coast. Australia,Brisbane
569989321698074000.00 ,neutral,1,null,null,Virgin America,null,emilybg78,null,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,null,2015/2/23 14:36,Stockton. CA,Arizona
569989034501500000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,rachie1126,null,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,null,2015/2/23 14:35,New York. NY,Eastern Time (US & Canada)
569987622484848000.00 ,neutral,0.6858,null,null,Virgin America,null,adawson66,null,0,@VirginAmerica @ladygaga @carrieunderwood all are great  . but I have to go with #CarrieUnderwood 馃槏馃憣,[33.57963333. -117.73024772],2015/2/23 14:30,null,null
569986782567071000.00 ,neutral,1,null,null,Virgin America,null,SocialPLC,null,0,@VirginAmerica @LadyGaga @CarrieUnderwood Sorry . Mary Martin had it first!,null,2015/2/23 14:26,Twin Cities. Minn.,Eastern Time (US & Canada)
569986348041547000.00 ,positive,1,null,null,Virgin America,null,jeffreymace01,null,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,null,2015/2/23 14:25,null,null
569982307634794000.00 ,neutral,0.6814,null,0,Virgin America,null,1stcrown,null,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,null,2015/2/23 14:09,USA,Central Time (US & Canada)
569976620158578000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,onerockgypsy,null,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,null,2015/2/23 13:46,next city,Pacific Time (US & Canada)
569973821396152000.00 ,negative,1,Late Flight,0.6789,Virgin America,null,noelduan,null,0,@VirginAmerica Hi . Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?,null,2015/2/23 13:35,SF 鈫?NY,Eastern Time (US & Canada)
569972508499283000.00 ,positive,0.6922,null,null,Virgin America,null,Travelzoo,null,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,null,2015/2/23 13:30,New York. NY,Pacific Time (US & Canada)
569967019958730000.00 ,negative,1,Lost Luggage,1,Virgin America,null,gianagon,null,0,@VirginAmerica everything was fine until you lost my bag,[40.6413712. -73.78311558],2015/2/23 13:08,New York + Panama,Eastern Time (US & Canada)
569961866224652000.00 ,neutral,1,null,null,Virgin America,null,bxchen,null,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,null,2015/2/23 12:47,San Francisco. CA,Eastern Time (US & Canada)
569949891163615000.00 ,neutral,0.6492,null,0,Virgin America,null,seimatrun,null,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,null,2015/2/23 12:00,Los Angeles,null
569948966873370000.00 ,neutral,1,null,null,Virgin America,null,jamied7,null,0,@VirginAmerica hi I just booked a flight but need to add baggage . how can I do this?,null,2015/2/23 11:56,London. England,London
569946362126602000.00 ,negative,1,Flight Attendant Complaints,0.3516,Virgin America,null,seimatrun,null,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,null,2015/2/23 11:46,Los Angeles,null
569942903683813000.00 ,positive,1,null,null,Virgin America,null,mrmichaellay,null,0,@VirginAmerica not worried . it's been a great ride in a new plane with great crew. All airlines should be like this.,[36.08457854. -115.13780136],2015/2/23 11:32,Floridian from Cincinnati ,Eastern Time (US & Canada)
569941957490774000.00 ,positive,1,null,null,Virgin America,null,TaylorLumsden,null,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,null,2015/2/23 11:28,Dallas. Texas,Mountain Time (US & Canada)
569940834994401000.00 ,neutral,1,null,null,Virgin America,null,campusmoviefest,null,0,@VirginAmerica Or watch some of the best student films in the country at 35 .000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF,null,2015/2/23 11:24,USA,Eastern Time (US & Canada)
569940323746516000.00 ,neutral,1,null,null,Virgin America,null,TaylorLumsden,null,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,null,2015/2/23 11:22,Dallas. Texas,Mountain Time (US & Canada)
569935232033366000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,meme_meng,null,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,null,2015/2/23 11:02,null,null
569934395865493000.00 ,neutral,1,null,null,Virgin America,null,kyle_romanoff,null,0,@VirginAmerica what happened to Doom?!,null,2015/2/23 10:58,null,null
569933816963342000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,GunsNDip,null,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,null,2015/2/23 10:56,null,Pacific Time (US & Canada)
569933777931145000.00 ,positive,1,null,null,Virgin America,null,artisticwritr87,null,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,null,2015/2/23 10:56,Seattle. WA,Pacific Time (US & Canada)
569933405506310000.00 ,negative,0.6792,Late Flight,0.3477,Virgin America,null,arieldaie,null,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,null,2015/2/23 10:54,Los Angeles,null
569933360564342000.00 ,negative,1,Can't Tell,1,Virgin America,null,GunsNDip,null,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,null,2015/2/23 10:54,null,Pacific Time (US & Canada)
569929243146088000.00 ,negative,1,Can't Tell,1,Virgin America,null,GunsNDip,null,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,null,2015/2/23 10:38,null,Pacific Time (US & Canada)
569926998824394000.00 ,negative,1,Flight Booking Problems,1,Virgin America,null,jsatk,null,0,@VirginAmerica I鈥檓 having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,[0.0. 0.0],2015/2/23 10:29,Lower Pacific Heights. SF. CA,Pacific Time (US & Canada)
569923394990419000.00 ,neutral,0.6705,null,0,Virgin America,null,serenaklal,null,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,null,2015/2/23 10:15,Chicago,Eastern Time (US & Canada)
569922008588222000.00 ,neutral,1,null,null,Virgin America,null,openambit1,null,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,null,2015/2/23 10:09,null,null
569920824905306000.00 ,neutral,0.6545,null,0,Virgin America,null,cabowine,null,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,null,2015/2/23 10:04,Los Cabos.Mexico,Arizona
569919041244147000.00 ,negative,1,Can't Tell,0.6513,Virgin America,null,MaryAnnTaylorT,null,0,@VirginAmerica Why is the site down?  When will it be back up?,null,2015/2/23 9:57,New York. NY,Arizona
569915941192015000.00 ,neutral,1,null,null,Virgin America,null,RamotControl,null,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",null,2015/2/23 9:45,null,Pacific Time (US & Canada)
569913339427434000.00 ,neutral,0.6639,null,0,Virgin America,null,losermelon,null,0,@VirginAmerica hi . i did not get points on my elevate account for my most recent flight . how do i add the flight and points to my account?,null,2015/2/23 9:35,null,null
569911816937033000.00 ,negative,1,Cancelled Flight,1,Virgin America,null,AlisonK33774854,null,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,null,2015/2/23 9:29,null,null
569911674158731000.00 ,negative,1,Late Flight,1,Virgin America,null,GunsNDip,null,0,@VirginAmerica just landed in LAX . an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin,null,2015/2/23 9:28,null,Pacific Time (US & Canada)
569911218942517000.00 ,neutral,0.6765,null,0,Virgin America,null,yazdanagh,null,0,@VirginAmerica why is flight 345 redirected?,null,2015/2/23 9:26,null,null
569910981868060000.00 ,negative,1,Customer Service Issue,0.6863,Virgin America,null,MerchEngines,null,0,@VirginAmerica Is it me . or is your website down?  BTW . your new website isn't a great user experience.  Time for another redesign.,null,2015/2/23 9:25,Los Angeles. CA,Arizona
569909224521641000.00 ,negative,1,Customer Service Issue,0.6771,Virgin America,null,ColorCartel,null,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,null,2015/2/23 9:18,Austin. TX,Mountain Time (US & Canada)
569907336485019000.00 ,negative,1,Can't Tell,0.659,Virgin America,null,MustBeSpoken,null,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,null,2015/2/23 9:11,null,null
569896805611089000.00 ,negative,1,Flight Booking Problems,0.6714,Virgin America,null,mattbunk,null,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,null,2015/2/23 8:29,Sterling Heights. MI,Eastern Time (US & Canada)
569894449620369000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,louisjenny,null,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,null,2015/2/23 8:19,Washington DC,Quito
569894407001939000.00 ,neutral,1,null,null,Virgin America,null,STravelsW,null,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,null,2015/2/23 8:19,Manhattan Beach. CA,null
569892199690678000.00 ,negative,1,Late Flight,0.6882,Virgin America,null,GunsNDip,null,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,null,2015/2/23 8:11,null,Pacific Time (US & Canada)
569891469210755000.00 ,neutral,1,null,null,Virgin America,null,joeyrenagade,null,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,null,2015/2/23 8:08,Greater Los Angeles,null
569891436100874000.00 ,negative,0.6925,Late Flight,0.3521,Virgin America,null,mrmichaellay,null,0,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,[0.0. 0.0],2015/2/23 8:08,Floridian from Cincinnati ,Eastern Time (US & Canada)
569887310713479000.00 ,negative,1,Late Flight,0.3486,Virgin America,null,GunsNDip,null,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,null,2015/2/23 7:51,null,Pacific Time (US & Canada)
569887049446076000.00 ,positive,1,null,null,Virgin America,null,TheDuchessSF,null,0,@VirginAmerica - amazing customer  service . again! 馃挄馃挄 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying,null,2015/2/23 7:50,Online,Pacific Time (US & Canada)
569884551712886000.00 ,negative,1,Customer Service Issue,1,Virgin America,null,BeLeather,null,0,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,[0.0. 0.0],2015/2/23 7:40,null,Pacific Time (US & Canada)
569884407852437000.00 ,negative,1,Flight Booking Problems,0.6366,Virgin America,null,BeLeather,null,0,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,[0.0. 0.0],2015/2/23 7:40,null,Pacific Time (US & Canada)
569881548515708000.00 ,neutral,0.6593,null,0,Virgin America,null,drcaseydrake,null,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,[37.79374402. -122.39327564],2015/2/23 7:28,Dallas. TX,null
569873669700358000.00 ,positive,0.6823,null,0,Virgin America,null,flyfromWAS,null,0,@VirginAmerica has getaway deals through May . from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare,null,2015/2/23 6:57,Washington. DC,Eastern Time (US & Canada)
569873668131717000.00 ,neutral,1,null,null,Virgin America,null,flyfromSEA,null,0,@VirginAmerica has getaway deals through May . from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare,null,2015/2/23 6:57,Seattle,Central Time (US & Canada)
569873665640292000.00 ,positive,0.6806,null,null,Virgin America,null,flyfromNYC,null,0,@VirginAmerica has getaway deals through May . from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare,null,2015/2/23 6:57,New York City. NY,Central Time (US & Canada)
569873664612704000.00 ,neutral,0.6529,null,null,Virgin America,null,flyfromLAX,null,0,@VirginAmerica has getaway deals through May . from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare,null,2015/2/23 6:57,Los Angeles. CA,Central Time (US & Canada)
569872058613673000.00 ,positive,0.678,null,null,Virgin America,null,Silvanabfer,null,0,@VirginAmerica Have a great week 馃尀鉁?,2015/2/23 6:51,null,null,null
569861209781989000.00 ,positive,0.3482,null,0,Virgin America,null,AdamJdubs,null,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,null,2015/2/23 6:07,Earth,Eastern Time (US & Canada)
569847920192655000.00 ,negative,1,Late Flight,1,Virgin America,null,nicholas_v,null,0,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",[26.074379. -80.1416831],2015/2/23 5:15,null,Eastern Time (US & Canada)
569814339785338000.00 ,positive,1,null,null,Virgin America,null,tstashajones,null,0,@VirginAmerica is the best airline I have flown on.Easy to change your reservation .helpful representatives &amp; a comfortable flying experience,null,2015/2/23 3:01,Halifax. Nova Scotia. Canada,Eastern Time (US & Canada)
